x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y3
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,80,20756.07528,0
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,80,343284.1913,0
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,80,1368101.369,0
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,80,1842137.59,1
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,80,1280917.415,0
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,80,1204653.159,14
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,80,838385.7593,14
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,80,940651.3691,14
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,85,20776.98285,1
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,85,4068374.201,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,85,2043128.514,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,85,1280816.476,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,85,930055.5905,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,85,1817922.894,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,85,970954.898,14
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,85,838556.353,14
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,90,4124323.085,5
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,90,2043531.03,14
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,90,1510579.896,13
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,90,1510497.145,13
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,90,1190694.86,13
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,90,1190378.58,13
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,90,1280617.972,13
