x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,80,20756.07528,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,80,343284.1913,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,80,1368101.369,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,80,1842137.59,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,80,1280917.415,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,80,1204653.159,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,80,838385.7593,3
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,80,940651.3691,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,85,20776.98285,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,85,4068374.201,7
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,85,2043128.514,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,85,1280816.476,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,85,930055.5905,3
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,85,1817922.894,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,85,970954.898,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,85,838556.353,13
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,90,4124323.085,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,90,2043531.03,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,90,1510579.896,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,90,1510497.145,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,90,1190694.86,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,90,1190378.58,3
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,90,1280617.972,2
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,90,995336.9029,2
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,95,237236.87,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,95,4068571.208,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,95,3258425.479,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,95,1190904.612,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,95,1205215.929,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,95,983830.8698,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,95,1044123.129,13
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,95,839121.8121,13
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,99,21099.12044,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,99,1842482.001,8
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,99,2363659.012,3
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,99,1491095.582,13
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,99,941507.178,13
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,99,1386316.31,4
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,99,1044225.2,2
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,99,930158.8817,2
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,80,21150.07648,7
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,80,18424.51968,7
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,80,17926.2415,8
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,80,17729.81968,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,80,17481.49804,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,80,17729.81968,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,80,17448.78386,2
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,80,17472.4492,6
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,85,20270.87754,7
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,85,18188.21656,12
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,85,17966.98649,14
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,85,17886.4127,3
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,85,17690.76611,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,85,17769.258,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,85,17734.91381,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,85,17520.17244,2
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,90,20952.60965,11
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,90,18500.4881,7
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,90,17966.98649,13
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,90,17788.04626,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,90,17730.94567,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,90,17730.94567,2
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,90,17827.48459,3
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,90,17537.6936,6
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,95,20922.77616,11
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,95,18490.37491,7
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,95,18306.19898,8
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,95,18312.71491,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,95,18152.5953,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,95,18107.36409,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,95,17989.04339,2
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,95,17989.04339,6
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,99,21267.60266,11
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,99,18637.92692,12
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,99,18372.05422,13
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,99,18216.01164,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,99,18107.36409,3
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,99,18050.90831,3
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,99,17989.04339,6
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,99,17889.25852,2
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,10,80,21369.94209,11
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,30,80,18694.80289,7
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,50,80,17926.2415,4
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,70,80,17633.2286,4
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,90,80,17409.7303,4
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,110,80,17355.46131,10
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,130,80,17420.13324,4
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,150,80,17183.53657,4
